model_name,feature_selection,generalization_test,Task,multiclass,Parameters,classifier,micro_precision,micro_recall,micro_f1,micro_f2,subset_accuracy,hamming_loss
XGBoost,all,0,s,0,1,1,0.234277857484457,0.32108843537415,0.270879014334512,0.298918079881383,0.57421875,0.091941550925926
XGBoost,all,1,s,0,1,1,0.25945661276815,0.403954802259887,0.315675173380094,0.363180760810071,0.494983277591973,0.1152917131178
XGBoost,all,0,f,0,2,1,0.233056702737554,0.552795031055901,0.327711602505154,0.433522583979858,0.525190839694656,0.111145038167939
XGBoost,all,1,f,0,2,1,0.141192724442021,0.194736842105263,0.163126234265846,0.180514269964676,0.526755852842809,0.124972129319955
XGBoost,audio,0,s,0,1,1,0.118571792927374,0.204081632653061,0.149959928397959,0.178318095503495,0.492621527777778,0.123046875
XGBoost,audio,1,s,0,1,1,0.164479989366857,0.269774011299435,0.204065313863172,0.238844980956329,0.453177257525084,0.138610182088443
XGBoost,audio,0,f,0,2,1,0.087890679833797,0.244306418219462,0.128471520540431,0.17873443990203,0.408651399491094,0.163765903307888
XGBoost,audio,1,f,0,2,1,0.083588446083099,0.171929824561404,0.111682979868391,0.140923645020025,0.380713489409142,0.175919732441472
XGBoost,visual,0,s,0,1,1,0.178592161800517,0.341496598639456,0.234514690137121,0.288788470936932,0.49609375,0.118489583333333
XGBoost,visual,1,s,0,1,1,0.128019938992868,0.259887005649717,0.171487684031589,0.215427184146497,0.342809364548495,0.164994425863991
XGBoost,visual,0,f,0,2,1,0.223773768914879,0.619047619047619,0.328495819664869,0.457055072095451,0.478880407124682,0.124478371501272
XGBoost,visual,1,f,0,2,1,0.163327258995242,0.312280701754386,0.21425884216112,0.26384128322057,0.429208472686734,0.145707915273133
XGBoost,multimodal,0,s,0,1,1,0.087172917300368,0.40952380952381,0.143441940923057,0.234578582719686,0.213975694444444,0.262008101851852
XGBoost,multimodal,1,s,0,1,1,0.154155686286403,0.693502824858757,0.25161720976019,0.406274430615332,0.118171683389075,0.275083612040134
XGBoost,multimodal,0,f,0,2,1,0.105748466335899,0.650103519668737,0.181879869814233,0.32022649923522,0.126717557251908,0.287735368956743
XGBoost,multimodal,1,f,0,2,1,0.080948955513746,0.32280701754386,0.129281740895132,0.201682454741057,0.177257525083612,0.278372352285396
XGBoost,audio_multi,0,s,0,1,1,0.139447847961965,0.263945578231292,0.182273783293613,0.223704351504611,0.503472222222222,0.126519097222222
XGBoost,audio_multi,1,s,0,1,1,0.198484014369688,0.399717514124294,0.265227567764778,0.332298134109629,0.415273132664437,0.145577852099591
XGBoost,audio_multi,0,f,0,2,1,0.08480266615332,0.25879917184265,0.127440567594383,0.182906747513167,0.347073791348601,0.176590330788804
XGBoost,audio_multi,1,f,0,2,1,0.070213398082163,0.157894736842105,0.096772163348163,0.125769441286683,0.364548494983278,0.183389074693423
XGBoost,correlations,0,s,0,1,1,0.168639601876354,0.272108843537415,0.208092927929481,0.24222838228426,0.526909722222222,0.110460069444444
XGBoost,correlations,1,s,0,1,1,0.228903134914064,0.3545197740113,0.278097989761036,0.319369858373529,0.435340022296544,0.121516164994426
XGBoost,correlations,0,f,0,2,1,0.172294524251394,0.44927536231884,0.249061521659814,0.339952307925589,0.427989821882952,0.13323155216285
XGBoost,correlations,1,f,0,2,1,0.090824232265498,0.173684210526316,0.119042363144927,0.146606646013468,0.411371237458194,0.161984392419175
XGBoost,hand_selected,0,s,0,1,1,0.207944285649471,0.397278911564626,0.272991309003768,0.336072466044432,0.526475694444444,0.112485532407407
XGBoost,hand_selected,1,s,0,1,1,0.143666787466351,0.343220338983051,0.202510225832503,0.268543910385911,0.309364548494983,0.177350427350427
XGBoost,hand_selected,0,f,0,2,1,0.195606755557662,0.463768115942029,0.274516675891489,0.363042492916108,0.47735368956743,0.121017811704835
XGBoost,hand_selected,1,f,0,2,1,0.130102009738126,0.212280701754386,0.161128745989487,0.188272113436373,0.450947603121516,0.139241917502787
RandomForest,all,0,s,0,3,1,0.242788600851481,0.219047619047619,0.230212448675482,0.223361229307182,0.64453125,0.077835648148148
RandomForest,all,1,s,0,3,1,0.361786050457734,0.36864406779661,0.364272210361361,0.366674108130503,0.580267558528428,0.084076551467856
RandomForest,all,0,f,0,4,1,0.262712068253515,0.546583850931677,0.354843765545018,0.449429517655693,0.5735368956743,0.097709923664122
RandomForest,all,1,f,0,4,1,0.183439781132643,0.201754385964912,0.192082660882202,0.197749573393963,0.58974358974359,0.107692307692308
RandomForest,audio,0,s,0,3,1,0.141300875830105,0.160544217687075,0.150119700818586,0.156152771289238,0.580729166666667,0.096860532407407
RandomForest,audio,1,s,0,3,1,0.245763685081557,0.266949152542373,0.255898940078439,0.262411154363006,0.526198439241917,0.102099591230026
RandomForest,audio,0,f,0,4,1,0.119620184953189,0.225672877846791,0.15630507560252,0.191620036398749,0.52264631043257,0.119491094147583
RandomForest,audio,1,f,0,4,1,0.064483926904095,0.096491228070175,0.077161645783347,0.087645257507014,0.450947603121516,0.146042363433668
RandomForest,visual,0,s,0,3,1,0.230109288015692,0.323809523809524,0.269026934563658,0.299417973336156,0.578125,0.093532986111111
RandomForest,visual,1,s,0,3,1,0.116186942845892,0.153954802259887,0.132348354066342,0.144488896039453,0.408584169453735,0.132571534745448
RandomForest,visual,0,f,0,4,1,0.240854969464358,0.679089026915114,0.355577765256872,0.497879259508855,0.489567430025445,0.121017811704835
RandomForest,visual,1,f,0,4,1,0.177252966087233,0.342105263157895,0.233419473561184,0.288336350778084,0.429765886287625,0.142251950947603
RandomForest,multimodal,0,s,0,3,1,0.084841701429361,0.383673469387755,0.138953348421235,0.2250942564913,0.317274305555556,0.252821180555556
RandomForest,multimodal,1,s,0,3,1,0.161194339745064,0.43361581920904,0.23490380621734,0.323879862872946,0.268673355629877,0.185525826830175
RandomForest,multimodal,0,f,0,4,1,0.107114448373651,0.639751552795031,0.183502509030322,0.320747910683917,0.140458015267176,0.279898218829517
RandomForest,multimodal,1,f,0,4,1,0.082263928748618,0.32280701754386,0.1311131982162,0.20368483847692,0.244147157190635,0.27190635451505
RandomForest,audio_multi,0,s,0,3,1,0.181771815954632,0.20952380952381,0.194533143243491,0.203221201281255,0.605902777777778,0.092303240740741
RandomForest,audio_multi,1,s,0,3,1,0.269468019995446,0.346045197740113,0.302924767120782,0.327379645824058,0.498327759197325,0.104700854700855
RandomForest,audio_multi,0,f,0,4,1,0.150876766524778,0.325051759834369,0.206035497113998,0.264002824998251,0.487022900763359,0.123053435114504
RandomForest,audio_multi,1,f,0,4,1,0.057512343105394,0.089473684210526,0.069994422755159,0.080500991067058,0.456521739130435,0.150501672240803
RandomForest,correlations,0,s,0,3,1,0.201877725223234,0.193197278911565,0.197269109507599,0.194765501238397,0.630642361111111,0.083478009259259
RandomForest,correlations,1,s,0,3,1,0.284551468761995,0.25,0.265683252608009,0.255952320234124,0.532329988851728,0.090765514678558
RandomForest,correlations,0,f,0,4,1,0.186464961649109,0.463768115942029,0.265978815775777,0.357439426128382,0.454452926208651,0.125801526717557
RandomForest,correlations,1,f,0,4,1,0.087386019975218,0.119298245614035,0.100833041562407,0.111139683226582,0.485507246376812,0.134559643255295
RandomForest,hand_selected,0,s,0,3,1,0.24349611575639,0.291156462585034,0.265102016763144,0.28011239588352,0.600694444444444,0.085865162037037
RandomForest,hand_selected,1,s,0,3,1,0.187874230729195,0.201977401129943,0.194498403924608,0.19887158915823,0.476588628762542,0.109717577108881
RandomForest,hand_selected,0,f,0,4,1,0.241383194243693,0.542443064182195,0.334071595796873,0.434112709713884,0.52264631043257,0.106361323155216
RandomForest,hand_selected,1,f,0,4,1,0.103744037048892,0.142105263157895,0.11978882186549,0.132198772125721,0.472129319955407,0.132552954292085
XGBoost,all,0,s,1,5,1,0.236269881509023,0.12108843537415,0.159164223884383,0.133813975364623,0.67578125,0.066984953703704
XGBoost,all,1,s,1,5,1,0.296214986726477,0.104519774011299,0.154070568503895,0.119924459886761,0.624860646599777,0.07469342251951
XGBoost,all,0,f,1,6,1,0.186651815750176,0.080745341614907,0.11256739343672,0.091028605896248,0.726208651399491,0.062290076335878
XGBoost,all,1,f,1,6,1,0.056685906685907,0.014035087719298,0.022465577629044,0.016512477800984,0.709030100334448,0.077926421404682
XGBoost,audio,0,s,1,5,1,0.050145706145706,0.02312925170068,0.031503403673215,0.025869527731032,0.640625,0.07544849537037
XGBoost,audio,1,s,1,5,1,0.142569363621995,0.048022598870057,0.070325885383084,0.054915599939297,0.600891861761427,0.080174656261613
XGBoost,audio,0,f,1,6,1,0.056126294932265,0.024844720496894,0.034384367782201,0.027941598094804,0.708396946564885,0.067786259541985
XGBoost,audio,1,f,1,6,1,0.080068834437767,0.03859649122807,0.051216699761368,0.042773483081914,0.698439241917503,0.079821627647715
XGBoost,visual,0,s,1,5,1,0.434095339358497,0.136054421768707,0.205507395438309,0.157235293153968,0.719618055555555,0.055700231481482
XGBoost,visual,1,s,1,5,1,0.205067597815382,0.062146892655367,0.094801171999691,0.072053379032559,0.620401337792642,0.077015979189892
XGBoost,visual,0,f,1,6,1,0.369259259259259,0.111801242236025,0.171534141015873,0.129889555420269,0.757760814249364,0.053129770992366
XGBoost,visual,1,f,1,6,1,0.147443826015255,0.031578947368421,0.05186551500603,0.037431583609461,0.724080267558528,0.073578595317726
XGBoost,multimodal,0,s,1,5,1,0.112804299501193,0.027210884353742,0.043804478186791,0.032068845885268,0.688802083333333,0.062934027777778
XGBoost,multimodal,1,s,1,5,1,0.204867149758454,0.049435028248588,0.078998792646417,0.058111855120901,0.633779264214047,0.074972129319955
