model_name,feature_selection,generalization_test,best_model,subsample,min_samples_split,n_estimators,max_depth,learning_rate,max_features,random_state,micro_precision_Strategy,micro_recall_Strategy,micro_f1_Strategy,micro_f2_Strategy,subset_accuracy_Strategy,hamming_loss_Strategy,precision_by_class_Strategy,recall_by_class_Strategy,f1_by_class_Strategy,multilabel_confusion_matrix_Strategy,micro_precision_FEP,micro_recall_FEP,micro_f1_FEP,micro_f2_FEP,subset_accuracy_FEP,hamming_loss_FEP,precision_by_class_FEP,recall_by_class_FEP,f1_by_class_FEP,multilabel_confusion_matrix_FEP
XGBoost,,False,No,0.8,,5,5,0.01,,"[42, 8, 33]",0.14640165124431165,0.29855838951966135,0.19389059436797712,0.24390604687664147,0.5321263299171689,0.099896273076231,"[0.074460382826203, 0.11998818663763053, 0.14876980976135576, 0.4270124947146436, 0.10025158656625503, 0.0]","[0.09123071935571936, 0.3821886446886447, 0.3244569757727652, 0.5579230431404344, 0.20606837606837608, 0.0]","[0.08039752793278686, 0.1795809645402614, 0.16581796018113154, 0.46596025466119173, 0.12948879343465877, 0.0]","{0: array([376.06666667,  31.13333333,  28.4       ,   4.4       ]), 1: array([383.2,  42.6,   8.8,   5.4]), 2: array([405.93333333,  23.06666667,   7.6       ,   3.4       ]), 3: array([400.86666667,  14.93333333,  11.06666667,  13.13333333]), 4: array([353.8       ,  65.6       ,  12.86666667,   7.73333333]), 5: array([423. ,  10.4,   6.6,   0. ])}",0.12220398370162325,0.2137032034374202,0.15190631886153674,0.18215219556944134,0.5334507185805407,0.1191944741252724,"[0.16578836391216464, 0.21971488751523077, 0.05965417069319066, 0.0751628523949425, 0.1160106090745477]","[0.2152704678362573, 0.22728564368668147, 0.2722222222222222, 0.21444588091646916, 0.07900145924536169]","[0.17966300942376262, 0.18011369002215682, 0.09708790795277128, 0.10681024491016786, 0.08619985785140453]","{0: array([359.4       ,  52.        ,  38.53333333,  12.66666667]), 1: array([406.53333333,  26.06666667,  23.33333333,   6.66666667]), 2: array([439.66666667,  16.93333333,   4.8       ,   1.2       ]), 3: array([380.2       ,  61.        ,  16.86666667,   4.53333333]), 4: array([422.46666667,  20.33333333,  18.06666667,   1.73333333])}"
XGBoost,,False,No,0.8,,5,5,0.1,,"[42, 8, 33]",0.14727800636409732,0.2612676509576297,0.1852555152015639,0.22284895709001323,0.566418258021273,0.09041044306096749,"[0.04705426356589147, 0.1459935434082777, 0.15113380178597569, 0.4315030861546178, 0.0905947167712769, 0.0]","[0.05225225225225225, 0.36492673992673996, 0.2843776106934002, 0.6133840072970508, 0.15211538461538462, 0.0]","[0.04940329218106996, 0.2063179070107569, 0.153053619826313, 0.4917909524741813, 0.1052880615455632, 0.0]","{0: array([383.06666667,  24.13333333,  30.86666667,   1.93333333]), 1: array([392.6,  33.2,   9. ,   5.2]), 2: array([407.6,  21.4,   8.4,   2.6]), 3: array([399.53333333,  16.26666667,   9.8       ,  14.4       ]), 4: array([365.8,  53.6,  15.4,   5.2]), 5: array([425.06666667,   8.33333333,   6.6       ,   0.        ])}",0.13588228614725567,0.20161815423012566,0.1573765165055061,0.17955607256584705,0.5839608716700718,0.10578205523899059,"[0.1790638102709363, 0.1911391438619346, 0.07548604627036, 0.11213324296050994, 0.1089994879672299]","[0.22887426900584795, 0.21437690470307225, 0.2361111111111111, 0.1902483222943581, 0.06574317281634355]","[0.19253078799199438, 0.15811329951752295, 0.11039496735148908, 0.1293448338056385, 0.07201343598066472]","{0: array([364.66666667,  46.73333333,  38.66666667,  12.53333333]), 1: array([406.73333333,  25.86666667,  24.66666667,   5.33333333]), 2: array([444.93333333,  11.66666667,   4.86666667,   1.13333333]), 3: array([397.2,  44. ,  17.4,   4. ]), 4: array([427.        ,  15.8       ,  18.46666667,   1.33333333])}"
XGBoost,,False,No,0.8,,5,5,0.3,,"[42, 8, 33]",0.1938789070411878,0.23365046376514026,0.2062205253118947,0.22010473315737053,0.6477854416478519,0.07071652927984808,"[0.06899312070043777, 0.19388340499286186, 0.19350904650904652, 0.5012346827642985, 0.08381169819525984, 0.03333333333333333]","[0.0598962598962599, 0.29633699633699634, 0.2937552213868003, 0.6209571748702184, 0.054337606837606835, 0.0033333333333333335]","[0.06183679233862833, 0.22244719332865828, 0.18302359100423227, 0.5425221251047723, 0.04258533514109007, 0.006060606060606061]","{0: array([391.2,  16. ,  30.6,   2.2]), 1: array([402.6,  23.2,  10. ,   4.2]), 2: array([414.73333333,  14.26666667,   8.26666667,   2.73333333]), 3: array([401.6       ,  14.2       ,   9.53333333,  14.66666667]), 4: array([390.06666667,  29.33333333,  19.4       ,   1.2       ]), 5: array([4.29400000e+02, 4.00000000e+00, 6.53333333e+00, 6.66666667e-02])}",0.16479308639254703,0.15514898323832213,0.156430432457008,0.15498156786942202,0.6435933902541462,0.08847907580187826,"[0.17213370818288, 0.2772641373548815, 0.03656565656565657, 0.14725722546111214, 0.08955026455026455]","[0.14551315789473682, 0.22258051231364798, 0.06666666666666667, 0.1524268258027849, 0.04052741296643736]","[0.15397303580345864, 0.19230771000607502, 0.0471677559912854, 0.13355467258283998, 0.05267544250989909]","{0: array([377.93333333,  33.46666667,  42.93333333,   8.26666667]), 1: array([411.4,  21.2,  24.2,   5.8]), 2: array([4.52533333e+02, 4.06666667e+00, 5.60000000e+00, 4.00000000e-01]), 3: array([412.06666667,  29.13333333,  18.13333333,   3.26666667]), 4: array([432.6       ,  10.2       ,  18.86666667,   0.93333333])}"
XGBoost,,False,No,0.8,,5,5,0.01,0.5,"[42, 8, 33]",0.18926263919792868,0.30453821497694794,0.22991397589006493,0.26774917865503794,0.594095675153126,0.08174036084513762,"[0.055591884641180415, 0.15754134216277121, 0.1953048313342431, 0.5096462719461291, 0.129753845372471, 0.01111111111111111]","[0.04930384930384932, 0.36671245421245424, 0.2634294068504595, 0.6746835129443826, 0.2204059829059829, 0.0033333333333333335]","[0.040768769516745774, 0.21160168804437532, 0.1826627661247872, 0.5587309362484206, 0.15989539253330526, 0.005128205128205128]","{0: array([384.8,  22.4,  31. ,   1.8]), 1: array([392.86666667,  32.93333333,   9.        ,   5.2       ]), 2: array([417.46666667,  11.53333333,   8.8       ,   2.2       ]), 3: array([397.66666667,  18.13333333,   7.93333333,  16.26666667]), 4: array([370.46666667,  48.93333333,  11.66666667,   8.93333333]), 5: array([4.25866667e+02, 7.53333333e+00, 6.53333333e+00, 6.66666667e-02])}",0.15883947870344603,0.18719118522930317,0.1696254068458733,0.17908699776948314,0.5894355398363949,0.09864846424801738,"[0.17171327900271063, 0.30538793676418535, 0.05060308972073678, 0.11377906837103847, 0.10185702712018502]","[0.1762909356725146, 0.2292157427998792, 0.13055555555555556, 0.2140377979508414, 0.07869084844694602]","[0.16147889104203103, 0.22040826277060657, 0.0711121449107719, 0.13867574107269678, 0.0847995163694899]","{0: array([368.8       ,  42.6       ,  41.93333333,   9.26666667]), 1: array([414.33333333,  18.26666667,  23.        ,   7.        ]), 2: array([446.73333333,   9.86666667,   5.33333333,   0.66666667]), 3: array([395.13333333,  46.06666667,  16.93333333,   4.46666667]), 4: array([432.33333333,  10.46666667,  17.46666667,   2.33333333])}"
XGBoost,,False,No,0.8,,5,5,0.1,0.5,"[42, 8, 33]",0.22332535095690645,0.31998451572437986,0.25844594644897845,0.289939370877415,0.6204829659675613,0.07468292453617444,"[0.15666272317166918, 0.13111650247873158, 0.22315036270918623, 0.5109597187502681, 0.12579856818987253, 0.03333333333333333]","[0.12829477204477205, 0.3117826617826618, 0.28314536340852126, 0.6585457698501176, 0.14797008547008547, 0.0033333333333333335]","[0.13171339138444402, 0.18034787702128488, 0.19562124562073466, 0.5532614130905837, 0.1261752172205134, 0.006060606060606061]","{0: array([388.13333333,  19.06666667,  25.66666667,   7.13333333]), 1: array([396.53333333,  29.26666667,   9.8       ,   4.4       ]), 2: array([416.6       ,  12.4       ,   8.53333333,   2.46666667]), 3: array([397.6       ,  18.2       ,   8.26666667,  15.93333333]), 4: array([380.8       ,  38.6       ,  14.46666667,   6.13333333]), 5: array([4.27133333e+02, 6.26666667e+00, 6.53333333e+00, 6.66666667e-02])}",0.15377637061332,0.16822221276837118,0.15833987177259404,0.1634866578103832,0.6085746754205829,0.09650527046756469,"[0.16632832301045503, 0.23797156060313956, 0.05409021662891632, 0.13647963013661743, 0.04621533986600864]","[0.15827923976608188, 0.22085564066661173, 0.15277777777777776, 0.19547545662635177, 0.04863143631436314]","[0.1545103776376993, 0.18596248142983074, 0.07821192889394084, 0.1452483587065143, 0.04647593481103554]","{0: array([371. ,  40.4,  41.4,   9.8]), 1: array([411.2       ,  21.4       ,  23.93333333,   6.06666667]), 2: array([447.6,   9. ,   5.2,   0.8]), 3: array([401.53333333,  39.66666667,  17.4       ,   4.        ]), 4: array([432.53333333,  10.26666667,  18.2       ,   1.6       ])}"
XGBoost,,False,No,0.8,,5,5,0.3,0.5,"[42, 8, 33]",0.19472357791574424,0.20937915573585733,0.1948201359277991,0.20111094634815843,0.6440332525223657,0.0688638293402752,"[0.053799554264874726, 0.1381799414657134, 0.13565251897860592, 0.5178039587458192, 0.1603367710720652, 0.0]","[0.033674583674583675, 0.2617368742368742, 0.1724937343358396, 0.5819064671238583, 0.06666666666666667, 0.0]","[0.03905140274074805, 0.17462085708652425, 0.10937855754110436, 0.5349837062485914, 0.08753467121565735, 0.0]","{0: array([392.6       ,  14.6       ,  31.73333333,   1.06666667]), 1: array([401.86666667,  23.93333333,  10.53333333,   3.66666667]), 2: array([417.8       ,  11.2       ,   9.53333333,   1.46666667]), 3: array([401.13333333,  14.66666667,  10.2       ,  14.        ]), 4: array([392.53333333,  26.86666667,  18.13333333,   2.46666667]), 5: array([429.33333333,   4.06666667,   6.6       ,   0.        ])}",0.18753812326420197,0.16726704529340028,0.17495378977331347,0.16985700588404098,0.6502174138786605,0.08427972482864451,"[0.184103225057617, 0.2853418551973764, 0.12225071225071225, 0.10795915053490394, 0.09222222222222222]","[0.14903654970760233, 0.22470279768278284, 0.15277777777777776, 0.13135977690964903, 0.07067750677506776]","[0.1586390033610026, 0.21732860569018767, 0.11634768740031896, 0.10855378021178189, 0.0787057169218894]","{0: array([379.33333333,  32.06666667,  41.8       ,   9.4       ]), 1: array([415.53333333,  17.06666667,  23.33333333,   6.66666667]), 2: array([452.26666667,   4.33333333,   5.2       ,   0.8       ]), 3: array([409.66666667,  31.53333333,  18.6       ,   2.8       ]), 4: array([435.8       ,   7.        ,  17.13333333,   2.66666667])}"
XGBoost,,False,No,0.8,,5,5,0.01,sqrt,"[42, 8, 33]",0.19678782742493212,0.2636641984686344,0.21696325853397166,0.23932651417486486,0.6264220648920407,0.07541472370570247,"[0.1009628536622896, 0.11670752060573597, 0.09143729496670673, 0.4403998177630472, 0.13467606925811257, 0.0]","[0.06568471880971881, 0.2117063492063492, 0.12708855472013364, 0.6468644077339729, 0.11773504273504273, 0.0]","[0.07355073859091397, 0.1477846648196085, 0.08776800116828812, 0.5059950537403834, 0.11405779861930045, 0.0]","{0: array([386.        ,  21.2       ,  29.73333333,   3.06666667]), 1: array([402.6       ,  23.2       ,  11.06666667,   3.13333333]), 2: array([415.2       ,  13.8       ,   9.46666667,   1.53333333]), 3: array([391.86666667,  23.93333333,   7.46666667,  16.73333333]), 4: array([384.4       ,  35.        ,  16.13333333,   4.46666667]), 5: array([429.53333333,   3.86666667,   6.6       ,   0.        ])}",0.17545036881264822,0.2615869352505743,0.20808376897319789,0.2363470745305804,0.5755321830812647,0.10510828225429249,"[0.2117264060377549, 0.338230364406835, 0.016541353383458645, 0.09299103193498467, 0.13080530960505288]","[0.26712134502923973, 0.32151319221371116, 0.06666666666666667, 0.27219961340165943, 0.10873983739837399]","[0.22935900022114017, 0.27501293459088955, 0.026352941176470586, 0.1347582423734864, 0.10809902953765466]","{0: array([365.93333333,  45.46666667,  36.2       ,  15.        ]), 1: array([411.06666667,  21.53333333,  19.86666667,  10.13333333]), 2: array([4.414e+02, 1.520e+01, 5.600e+00, 4.000e-01]), 3: array([386.53333333,  54.66666667,  15.86666667,   5.53333333]), 4: array([428.73333333,  14.06666667,  16.93333333,   2.86666667])}"
XGBoost,,False,No,0.8,,5,5,0.1,sqrt,"[42, 8, 33]",0.20561705895467172,0.2639724348404877,0.21996768913451203,0.2405166704237249,0.6387820252854985,0.07358891081505528,"[0.1242310974569039, 0.14716808956437438, 0.12833483746527224, 0.4532964049096215, 0.12835658393863164, 0.0]","[0.08202805077805078, 0.23495115995115998, 0.15474101921470343, 0.5948380122293166, 0.08985042735042735, 0.0]","[0.09190104005064635, 0.1746071648759821, 0.11481619999778567, 0.49325028627475515, 0.09589348496267848, 0.0]","{0: array([386.6       ,  20.6       ,  28.66666667,   4.13333333]), 1: array([405.46666667,  20.33333333,  10.73333333,   3.46666667]), 2: array([414.2,  14.8,   9. ,   2. ]), 3: array([394.06666667,  21.73333333,   8.46666667,  15.73333333]), 4: array([386.06666667,  33.33333333,  17.13333333,   3.46666667]), 5: array([427.66666667,   5.73333333,   6.6       ,   0.        ])}",0.17976406414930732,0.23393027312175615,0.200472734396173,0.21839559707693232,0.5925116148117285,0.0992964015016826,"[0.2276451972860494, 0.35487112809451643, 0.01850980392156863, 0.09041631862220505, 0.12089357368099575]","[0.2445058479532164, 0.30439145594816464, 0.06666666666666667, 0.22700336321819695, 0.11651761517615175]","[0.22787259981586577, 0.26747145777636605, 0.028798503973819542, 0.12575042286108246, 0.11282925326784973]","{0: array([370.        ,  41.4       ,  37.33333333,  13.86666667]), 1: array([411.86666667,  20.73333333,  20.73333333,   9.26666667]), 2: array([4.43333333e+02, 1.32666667e+01, 5.60000000e+00, 4.00000000e-01]), 3: array([392.13333333,  49.06666667,  16.8       ,   4.6       ]), 4: array([432.13333333,  10.66666667,  16.86666667,   2.93333333])}"
XGBoost,,False,No,0.8,,5,5,0.3,sqrt,"[42, 8, 33]",0.21484283143027322,0.2653742855311349,0.2284080895368755,0.2463052964601028,0.6530583802359042,0.06989050015097478,"[0.17840599968506943, 0.1741219305385972, 0.13636447831494272, 0.45530654171989104, 0.08319082261826306, 0.0]","[0.12059275184275182, 0.23574481074481074, 0.15396825396825398, 0.581844982714548, 0.08557692307692308, 0.0]","[0.13360368234772813, 0.19228021019740152, 0.10260436193769527, 0.4899778997802884, 0.0691981378363611, 0.0]","{0: array([390.53333333,  16.66666667,  26.8       ,   6.        ]), 1: array([409.13333333,  16.66666667,  10.8       ,   3.4       ]), 2: array([415.8,  13.2,   9.6,   1.4]), 3: array([395.46666667,  20.33333333,   8.73333333,  15.46666667]), 4: array([384.        ,  35.4       ,  17.86666667,   2.73333333]), 5: array([431.4,   2. ,   6.6,   0. ])}",0.18961480945545678,0.20797833886383618,0.1929213337652575,0.20029633398835459,0.6203858592126633,0.09231822505782365,"[0.23741859339337265, 0.3383269165023799, 0.03513227513227513, 0.07440992130297215, 0.18338166088166089]","[0.2447076023391813, 0.24246767152623339, 0.03888888888888888, 0.13496653957012014, 0.10822493224932249]","[0.23363967346707953, 0.22238668891183222, 0.03240678805896197, 0.08932372894293894, 0.13093739500696036]","{0: array([373.93333333,  37.46666667,  36.53333333,  14.66666667]), 1: array([413.53333333,  19.06666667,  22.66666667,   7.33333333]), 2: array([4.47866667e+02, 8.73333333e+00, 5.73333333e+00, 2.66666667e-01]), 3: array([400.93333333,  40.26666667,  18.6       ,   2.8       ]), 4: array([432.73333333,  10.06666667,  16.93333333,   2.86666667])}"
XGBoost,,False,No,0.8,,5,,0.01,,"[42, 8, 33]",0.1322405600250568,0.464316714968674,0.20455216412369917,0.30621308946270226,0.36837452580968316,0.14859039613625408,"[0.12113559655280694, 0.07625806164976695, 0.11418311016807635, 0.46150706556778665, 0.08099260280726618, 0.0]","[0.24428690053690053, 0.42445054945054944, 0.4514828738512949, 0.8037503237503237, 0.2692307692307692, 0.0]","[0.15843044774556436, 0.12867658721996159, 0.147254972437977, 0.5621819278892984, 0.12265471096451887, 0.0]","{0: array([354.53333333,  52.66666667,  20.6       ,  12.2       ]), 1: array([354.6       ,  71.2       ,   8.06666667,   6.13333333]), 2: array([380.46666667,  48.53333333,   6.06666667,   4.93333333]), 3: array([393.2,  22.6,   4.8,  19.4]), 4: array([322.86666667,  96.53333333,   9.66666667,  10.93333333]), 5: array([388. ,  45.4,   6.6,   0. ])}",0.09335894521461667,0.25814063785132874,0.1344171116890562,0.18589013831888135,0.36362187671992197,0.1736251768348415,"[0.17190332836521127, 0.186733100829875, 0.036928471954605156, 0.061672026187689924, 0.020889820570827302]","[0.27133187134502923, 0.2217815665925377, 0.3055555555555555, 0.3727910339163536, 0.059328747133625175]","[0.20082492454175543, 0.15982526650922294, 0.0657325841529358, 0.10464037792749559, 0.029093800808998743]","{0: array([345.66666667,  65.73333333,  35.6       ,  15.6       ]), 1: array([403.06666667,  29.53333333,  23.93333333,   6.06666667]), 2: array([409.73333333,  46.86666667,   4.6       ,   1.4       ]), 3: array([315.26666667, 125.93333333,  13.53333333,   7.86666667]), 4: array([407.73333333,  35.06666667,  18.66666667,   1.13333333])}"
XGBoost,,False,No,0.8,,5,,0.1,,"[42, 8, 33]",0.14521913323378596,0.4246980799209045,0.21291306777281005,0.3005109471385751,0.4381317037370309,0.12875925912310768,"[0.08982762767506018, 0.09645267805319649, 0.17875673136376208, 0.4332894740685219, 0.0777339892791649, 0.011594202898550725]","[0.15933319683319686, 0.4107600732600733, 0.5848162071846283, 0.837995337995338, 0.11356837606837608, 0.013333333333333334]","[0.11424467434472906, 0.155040651219009, 0.2292363921759332, 0.5490312255679651, 0.08109514157199274, 0.012403100775193798]","{0: array([362.93333333,  44.26666667,  24.33333333,   8.46666667]), 1: array([369.06666667,  56.73333333,   8.26666667,   5.93333333]), 2: array([382.33333333,  46.66666667,   4.06666667,   6.93333333]), 3: array([385.13333333,  30.66666667,   3.66666667,  20.53333333]), 4: array([351.6,  67.8,  15.6,   5. ]), 5: array([3.99066667e+02, 3.43333333e+01, 6.33333333e+00, 2.66666667e-01])}",0.11188893940612368,0.24383625457330044,0.151534610404288,0.19470173052634415,0.4597805801137135,0.1409788646830122,"[0.1880908977271115, 0.16707777666003581, 0.052547256056572816, 0.07693933400205842, 0.04733594138751581]","[0.28412573099415206, 0.20895107487027423, 0.3011904761904762, 0.2832129507321323, 0.06344798832603711]","[0.21790342064418694, 0.1387686676573662, 0.08637276181713523, 0.11777658571841229, 0.05120617922504714]","{0: array([347.8,  63.6,  34.6,  16.6]), 1: array([403. ,  29.6,  25. ,   5. ]), 2: array([423.73333333,  32.86666667,   4.6       ,   1.4       ]), 3: array([360.2       ,  81.        ,  15.53333333,   5.86666667]), 4: array([418.53333333,  24.26666667,  18.26666667,   1.53333333])}"
XGBoost,,False,No,0.8,,5,,0.3,,"[42, 8, 33]",0.1935411098539135,0.35530004840643536,0.24564293195484332,0.2983791611038869,0.5824138759185394,0.08943748987527128,"[0.09788764441077284, 0.15556399465445495, 0.20487924469333763, 0.44832877359341167, 0.12633354752750192, 0.0]","[0.08225156975156978, 0.3443223443223443, 0.49667919799498744, 0.7768167742080787, 0.1074786324786325, 0.0]","[0.08707547348296295, 0.2055289797351803, 0.24468129029322144, 0.5517186953457321, 0.0998333631582136, 0.0]","{0: array([379.46666667,  27.73333333,  28.6       ,   4.2       ]), 1: array([393.46666667,  32.33333333,   9.26666667,   4.93333333]), 2: array([402.4       ,  26.6       ,   4.93333333,   6.06666667]), 3: array([392.13333333,  23.66666667,   5.06666667,  19.13333333]), 4: array([375.8,  43.6,  16.4,   4.2]), 5: array([419.2,  14.2,   6.6,   0. ])}",0.14720767617403693,0.23260632746249185,0.1774322967381037,0.20574657527354712,0.5514105479917539,0.11224646264277728,"[0.19147023954202635, 0.2346741138952843, 0.06514032185509265, 0.08986693595529319, 0.09198165227150734]","[0.265735380116959, 0.22963717980396997, 0.28055555555555556, 0.21431575528762226, 0.07851573900354387]","[0.2145800678424641, 0.1783311552125882, 0.10113963297601741, 0.12026551233439813, 0.07883503457302084]","{0: array([359.93333333,  51.46666667,  35.8       ,  15.4       ]), 1: array([403.93333333,  28.66666667,  24.        ,   6.        ]), 2: array([440.6       ,  16.        ,   4.73333333,   1.26666667]), 3: array([388.6       ,  52.6       ,  16.86666667,   4.53333333]), 4: array([427.73333333,  15.06666667,  17.53333333,   2.26666667])}"
XGBoost,,False,No,0.8,,5,,0.01,0.5,"[42, 8, 33]",0.15945263364817264,0.4561438803774641,0.2331073734747157,0.32667665238109667,0.4527899491362035,0.12545838970021178,"[0.087767511266012, 0.09601892457811485, 0.16410250966149575, 0.41505246804823237, 0.11697789814809528, 0.016666666666666666]","[0.14588793338793338, 0.4327838827838828, 0.45839598997493736, 0.7764366068713895, 0.2715811965811966, 0.02333333333333333]","[0.1086071994324271, 0.15437741345263414, 0.2123014877295651, 0.5287926725376105, 0.15747211137506661, 0.019444444444444445]","{0: array([364.66666667,  42.53333333,  25.06666667,   7.73333333]), 1: array([364.06666667,  61.73333333,   7.93333333,   6.26666667]), 2: array([388.73333333,  40.26666667,   5.06666667,   5.93333333]), 3: array([386.53333333,  29.26666667,   4.73333333,  19.46666667]), 4: array([342.53333333,  76.86666667,   9.66666667,  10.93333333]), 5: array([407.33333333,  26.06666667,   6.13333333,   0.46666667])}",0.12023112862441682,0.26072950168751236,0.16213192399937573,0.20794611974777286,0.46675618731369384,0.14056537680549142,"[0.1682942653825653, 0.25618494332618624, 0.04121088901971255, 0.08226116120375501, 0.07337767364906418]","[0.2667397660818713, 0.26765024846937374, 0.2611111111111111, 0.29529617867213775, 0.10086616635397122]","[0.19985893230413013, 0.21655839357572665, 0.07106022645195958, 0.12411459940956023, 0.07732306398657908]","{0: array([352.06666667,  59.33333333,  37.6       ,  13.6       ]), 1: array([404.06666667,  28.53333333,  21.66666667,   8.33333333]), 2: array([425.33333333,  31.26666667,   4.66666667,   1.33333333]), 3: array([358.73333333,  82.46666667,  15.33333333,   6.06666667]), 4: array([412.66666667,  30.13333333,  17.13333333,   2.66666667])}"
